Measurement mode: Multipole mode
Scanning path: 
Sr+360
****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************
File name: IPM_1i2_centre
Date: 12.07.2018
Time: 16:41
Sample: 3mm
Gaussmeter: MMS-1A-RS
Hall probe: SENIS AG
Air gap: 3mm
Scanning resolution [µm]: 1000
Resolution rotation [°]:  0.1
Custom space line for Area scan: off
Probe offset X: -0.235mT;   Probe offset Y: -0.33mT;   Probe offset Z: -0.193mT;
Position offset X: 0mm;   Position offset Y: 0mm;   Position offset Z: 0mm;
Start position X=-19.001    Start position Y=-0.001    Start position Z=-11.5    Start position R=67.786
System serial number:MMS-1A-RS
Probe serial number: F3A-03K02D-S.2T/01T/25KJ  238-17, Selected measurement range: 200 mT
Calibration date:
Coordinate system: Rot table
Probe angle position: 0 degrees
Filter is turned ON          Lower Cut Off: 2500
Linear speed: 13 mm/s          Rotation speed: 120 deg/s
Graph view for Diameter and Multipole mode for full rotation: Default
****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************


           Slice	            Line	          X [mm]	          Y [mm]	          Z [mm]	  Rotation [deg]	         Bx [mT]	         By [mT]	         Bz [mT]	Rot. Enc [steps]	        Bxy [mT]	       Btot [mT]	Angle error [deg]	       Direction	         R [mm] 	          Z [mm]	     Theta [deg]	Probe temp [°C] 
                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           0.000	          48.497	          -5.219	           0.297	       -3085.000	          48.777	          48.778	             NaN	              R+	          19.000	         -11.500	           0.000	          28.081
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           0.100	          48.563	          -4.962	           0.268	       -3089.551	          48.816	          48.817	             NaN	              R+	          19.000	         -11.500	           0.100	          28.091
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           0.200	          48.507	          -4.639	           0.193	       -3094.102	          48.728	          48.729	             NaN	              R+	          19.000	         -11.500	           0.200	          28.117
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           0.300	          48.590	          -4.311	           0.250	       -3098.653	          48.781	          48.782	             NaN	              R+	          19.000	         -11.500	           0.300	          28.190
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           0.400	          48.537	          -3.975	           0.205	       -3103.204	          48.700	          48.700	             NaN	              R+	          19.000	         -11.500	           0.400	          28.131
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           0.500	          48.551	          -3.657	           0.308	       -3107.756	          48.689	          48.690	             NaN	              R+	          19.000	         -11.500	           0.500	          28.214
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           0.600	          48.616	          -3.323	           0.225	       -3112.307	          48.729	          48.730	             NaN	              R+	          19.000	         -11.500	           0.600	          28.105
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           0.700	          48.594	          -2.984	           0.291	       -3116.858	          48.685	          48.686	             NaN	              R+	          19.000	         -11.500	           0.700	          28.175
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           0.800	          48.593	          -2.695	           0.278	       -3121.409	          48.668	          48.669	             NaN	              R+	          19.000	         -11.500	           0.800	          28.160
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           0.900	          48.548	          -2.354	           0.265	       -3125.960	          48.605	          48.605	             NaN	              R+	          19.000	         -11.500	           0.900	          28.158
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           1.000	          48.627	          -2.000	           0.197	       -3130.511	          48.668	          48.669	             NaN	              R+	          19.000	         -11.500	           1.000	          28.143
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           1.100	          48.660	          -1.620	           0.271	       -3135.062	          48.687	          48.688	             NaN	              R+	          19.000	         -11.500	           1.100	          28.140
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           1.200	          48.710	          -1.265	           0.232	       -3139.613	          48.726	          48.727	             NaN	              R+	          19.000	         -11.500	           1.200	          28.115
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           1.300	          48.651	          -0.938	           0.288	       -3144.164	          48.660	          48.661	             NaN	              R+	          19.000	         -11.500	           1.300	          28.166
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           1.400	          48.708	          -0.602	           0.264	       -3148.716	          48.712	          48.713	             NaN	              R+	          19.000	         -11.500	           1.400	          28.155
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           1.500	          48.714	          -0.307	           0.227	       -3153.267	          48.715	          48.716	             NaN	              R+	          19.000	         -11.500	           1.500	          28.046
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           1.600	          48.668	           0.011	           0.236	       -3157.818	          48.668	          48.669	             NaN	              R+	          19.000	         -11.500	           1.600	          28.197
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           1.700	          48.655	           0.308	           0.224	       -3162.369	          48.656	          48.657	             NaN	              R+	          19.000	         -11.500	           1.700	          28.150
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           1.800	          48.723	           0.787	           0.207	       -3166.920	          48.729	          48.730	             NaN	              R+	          19.000	         -11.500	           1.800	          28.162
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           1.900	          48.683	           1.077	           0.223	       -3171.471	          48.695	          48.695	             NaN	              R+	          19.000	         -11.500	           1.900	          28.144
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           2.000	          48.663	           1.321	           0.255	       -3176.022	          48.681	          48.682	             NaN	              R+	          19.000	         -11.500	           2.000	          28.138
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           2.100	          48.638	           1.758	           0.245	       -3180.573	          48.670	          48.671	             NaN	              R+	          19.000	         -11.500	           2.100	          28.182
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           2.200	          48.633	           2.087	           0.308	       -3185.124	          48.677	          48.678	             NaN	              R+	          19.000	         -11.500	           2.200	          28.112
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           2.300	          48.682	           2.471	           0.236	       -3189.676	          48.745	          48.745	             NaN	              R+	          19.000	         -11.500	           2.300	          28.133
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           2.400	          48.713	           2.646	           0.243	       -3194.227	          48.785	          48.785	             NaN	              R+	          19.000	         -11.500	           2.400	          28.201
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           2.500	          48.656	           3.093	           0.201	       -3198.778	          48.754	          48.754	             NaN	              R+	          19.000	         -11.500	           2.500	          28.130
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           2.600	          48.633	           3.437	           0.185	       -3203.329	          48.754	          48.755	             NaN	              R+	          19.000	         -11.500	           2.600	          28.114
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           2.700	          48.640	           3.841	           0.261	       -3207.880	          48.791	          48.792	             NaN	              R+	          19.000	         -11.500	           2.700	          28.151
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           2.800	          48.659	           4.195	           0.283	       -3212.431	          48.840	          48.841	             NaN	              R+	          19.000	         -11.500	           2.800	          28.163
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           2.900	          48.610	           4.507	           0.276	       -3216.982	          48.818	          48.819	             NaN	              R+	          19.000	         -11.500	           2.900	          28.171
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           3.000	          48.557	           4.828	           0.267	       -3221.533	          48.796	          48.797	             NaN	              R+	          19.000	         -11.500	           3.000	          28.189
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           3.100	          48.561	           5.159	           0.236	       -3226.084	          48.834	          48.835	             NaN	              R+	          19.000	         -11.500	           3.100	          28.203
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           3.200	          48.586	           5.491	           0.213	       -3230.636	          48.895	          48.896	             NaN	              R+	          19.000	         -11.500	           3.200	          28.188
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           3.300	          48.482	           5.897	           0.236	       -3235.187	          48.840	          48.840	             NaN	              R+	          19.000	         -11.500	           3.300	          28.309
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           3.400	          48.493	           6.190	           0.199	       -3239.738	          48.886	          48.887	             NaN	              R+	          19.000	         -11.500	           3.400	          28.135
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           3.500	          48.466	           6.497	           0.149	       -3244.289	          48.899	          48.900	             NaN	              R+	          19.000	         -11.500	           3.500	          28.131
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           3.600	          48.423	           6.857	           0.265	       -3248.840	          48.907	          48.907	             NaN	              R+	          19.000	         -11.500	           3.600	          28.166
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           3.700	          48.428	           7.194	           0.250	       -3253.391	          48.959	          48.960	             NaN	              R+	          19.000	         -11.500	           3.700	          28.125
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           3.800	          48.400	           7.594	           0.211	       -3257.942	          48.992	          48.992	             NaN	              R+	          19.000	         -11.500	           3.800	          28.164
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           3.900	          48.356	           7.992	           0.190	       -3262.493	          49.012	          49.012	             NaN	              R+	          19.000	         -11.500	           3.900	          28.147
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           4.000	          48.345	           8.295	           0.224	       -3267.044	          49.052	          49.052	             NaN	              R+	          19.000	         -11.500	           4.000	          28.161
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           4.100	          48.312	           8.569	           0.244	       -3271.596	          49.066	          49.067	             NaN	              R+	          19.000	         -11.500	           4.100	          28.178
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           4.200	          48.223	           9.004	           0.242	       -3276.147	          49.057	          49.057	             NaN	              R+	          19.000	         -11.500	           4.200	          28.147
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           4.300	          48.144	           9.329	           0.200	       -3280.698	          49.040	          49.040	             NaN	              R+	          19.000	         -11.500	           4.300	          28.232
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           4.400	          48.087	           9.636	           0.204	       -3285.249	          49.043	          49.043	             NaN	              R+	          19.000	         -11.500	           4.400	          28.162
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           4.500	          48.079	          10.110	           0.204	       -3289.800	          49.131	          49.131	             NaN	              R+	          19.000	         -11.500	           4.500	          28.257
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           4.600	          48.100	          10.436	           0.224	       -3294.351	          49.219	          49.219	             NaN	              R+	          19.000	         -11.500	           4.600	          28.177
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           4.700	          48.049	          10.839	           0.193	       -3298.902	          49.257	          49.257	             NaN	              R+	          19.000	         -11.500	           4.700	          28.144
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           4.800	          47.962	          11.083	           0.260	       -3303.453	          49.226	          49.227	             NaN	              R+	          19.000	         -11.500	           4.800	          28.193
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           4.900	          47.877	          11.461	           0.185	       -3308.004	          49.230	          49.230	             NaN	              R+	          19.000	         -11.500	           4.900	          28.196
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           5.000	          47.861	          11.772	           0.168	       -3312.556	          49.287	          49.287	             NaN	              R+	          19.000	         -11.500	           5.000	          28.200
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           5.100	          47.792	          12.154	           0.184	       -3317.107	          49.313	          49.314	             NaN	              R+	          19.000	         -11.500	           5.100	          28.168
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           5.200	          47.739	          12.611	           0.181	       -3321.658	          49.377	          49.378	             NaN	              R+	          19.000	         -11.500	           5.200	          28.163
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           5.300	          47.675	          13.003	           0.224	       -3326.209	          49.416	          49.416	             NaN	              R+	          19.000	         -11.500	           5.300	          28.099
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           5.400	          47.615	          13.361	           0.179	       -3330.760	          49.454	          49.454	             NaN	              R+	          19.000	         -11.500	           5.400	          28.121
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           5.500	          47.530	          13.654	           0.179	       -3335.311	          49.452	          49.453	             NaN	              R+	          19.000	         -11.500	           5.500	          28.149
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           5.600	          47.460	          13.972	           0.226	       -3339.862	          49.474	          49.475	             NaN	              R+	          19.000	         -11.500	           5.600	          28.116
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           5.700	          47.455	          14.373	           0.170	       -3344.413	          49.584	          49.584	             NaN	              R+	          19.000	         -11.500	           5.700	          28.110
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           5.800	          47.398	          14.689	           0.131	       -3348.964	          49.622	          49.622	             NaN	              R+	          19.000	         -11.500	           5.800	          28.081
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           5.900	          47.261	          15.096	           0.160	       -3353.516	          49.613	          49.614	             NaN	              R+	          19.000	         -11.500	           5.900	          28.128
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           6.000	          47.142	          15.488	           0.113	       -3358.067	          49.621	          49.621	             NaN	              R+	          19.000	         -11.500	           6.000	          28.196
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           6.100	          47.089	          15.936	           0.204	       -3362.618	          49.712	          49.713	             NaN	              R+	          19.000	         -11.500	           6.100	          28.197
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           6.200	          47.006	          16.233	           0.240	       -3367.169	          49.730	          49.731	             NaN	              R+	          19.000	         -11.500	           6.200	          28.193
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           6.300	          46.950	          16.539	           0.214	       -3371.720	          49.778	          49.779	             NaN	              R+	          19.000	         -11.500	           6.300	          28.200
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           6.400	          46.881	          16.907	           0.184	       -3376.271	          49.837	          49.837	             NaN	              R+	          19.000	         -11.500	           6.400	          28.188
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           6.500	          46.738	          17.368	           0.226	       -3380.822	          49.861	          49.861	             NaN	              R+	          19.000	         -11.500	           6.500	          28.153
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           6.600	          46.635	          17.711	           0.173	       -3385.373	          49.885	          49.886	             NaN	              R+	          19.000	         -11.500	           6.600	          28.126
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           6.700	          46.551	          18.097	           0.212	       -3389.924	          49.945	          49.946	             NaN	              R+	          19.000	         -11.500	           6.700	          28.077
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           6.800	          46.422	          18.449	           0.197	       -3394.476	          49.954	          49.954	             NaN	              R+	          19.000	         -11.500	           6.800	          28.157
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           6.900	          46.322	          18.793	           0.187	       -3399.027	          49.989	          49.989	             NaN	              R+	          19.000	         -11.500	           6.900	          28.171
           1.000	           1.000	         -19.000	          -0.001	         -11.500	           7.000	          46.262	          19.156	           0.204	       -3403.578	          50.071	          50.071	             NaN	              R+	          19.000	         -11.500	           7.000	          28.076
