Measurement mode: Multipole mode
Scanning path: 
Sr+360
****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************
File name: IPM_evide_center
Date: 12.07.2018
Time: 16:30
Sample: 3mm
Gaussmeter: MMS-1A-RS
Hall probe: SENIS AG
Air gap: 3mm
Scanning resolution [µm]: 1000
Resolution rotation [°]:  0.1
Custom space line for Area scan: off
Probe offset X: -0.235mT;   Probe offset Y: -0.33mT;   Probe offset Z: -0.193mT;
Position offset X: 0mm;   Position offset Y: 0mm;   Position offset Z: 0mm;
Start position X=-19.001    Start position Y=-0.001    Start position Z=-11.501    Start position R=357.957
System serial number:MMS-1A-RS
Probe serial number: F3A-03K02D-S.2T/01T/25KJ  238-17, Selected measurement range: 200 mT
Calibration date:
Coordinate system: Rot table
Probe angle position: 0 degrees
Filter is turned ON          Lower Cut Off: 2500
Linear speed: 13 mm/s          Rotation speed: 120 deg/s
Graph view for Diameter and Multipole mode for full rotation: Default
****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************


           Slice	            Line	          X [mm]	          Y [mm]	          Z [mm]	  Rotation [deg]	         Bx [mT]	         By [mT]	         Bz [mT]	Rot. Enc [steps]	        Bxy [mT]	       Btot [mT]	Angle error [deg]	       Direction	         R [mm] 	          Z [mm]	     Theta [deg]	Probe temp [°C] 
                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                
           1.000	           1.000	         -19.001	          -0.001	         -11.501	           0.000	          52.820	          -2.489	           0.399	       65629.000	          52.878	          52.880	             NaN	              R+	          19.001	         -11.501	           0.000	          29.034
           1.000	           1.000	         -19.001	          -0.001	         -11.501	           0.100	          52.771	          -2.087	           0.446	       65624.449	          52.812	          52.814	             NaN	              R+	          19.001	         -11.501	           0.100	          29.086
           1.000	           1.000	         -19.001	          -0.001	         -11.501	           0.200	          52.787	          -1.765	           0.443	       65619.898	          52.816	          52.818	             NaN	              R+	          19.001	         -11.501	           0.200	          29.226
           1.000	           1.000	         -19.001	          -0.001	         -11.501	           0.300	          52.802	          -1.332	           0.431	       65615.347	          52.819	          52.821	             NaN	              R+	          19.001	         -11.501	           0.300	          29.060
           1.000	           1.000	         -19.001	          -0.001	         -11.501	           0.400	          52.774	          -0.943	           0.423	       65610.796	          52.783	          52.784	             NaN	              R+	          19.001	         -11.501	           0.400	          29.103
           1.000	           1.000	         -19.001	          -0.001	         -11.501	           0.500	          52.830	          -0.604	           0.420	       65606.244	          52.833	          52.835	             NaN	              R+	          19.001	         -11.501	           0.500	          29.092
           1.000	           1.000	         -19.001	          -0.001	         -11.501	           0.600	          52.777	          -0.192	           0.392	       65601.693	          52.777	          52.779	             NaN	              R+	          19.001	         -11.501	           0.600	          29.165
           1.000	           1.000	         -19.001	          -0.001	         -11.501	           0.700	          52.802	           0.199	           0.414	       65597.142	          52.802	          52.804	             NaN	              R+	          19.001	         -11.501	           0.700	          29.073
           1.000	           1.000	         -19.001	          -0.001	         -11.501	           0.800	          52.789	           0.527	           0.463	       65592.591	          52.791	          52.793	             NaN	              R+	          19.001	         -11.501	           0.800	          29.149
           1.000	           1.000	         -19.001	          -0.001	         -11.501	           0.900	          52.751	           0.820	           0.371	       65588.040	          52.757	          52.759	             NaN	              R+	          19.001	         -11.501	           0.900	          29.070
