Measurement mode: Multipole mode
Scanning path: 
Sr+360
****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************
File name: IPM_1i2_dessus_r12
Date: 12.07.2018
Time: 16:45
Sample: 5mm
Gaussmeter: MMS-1A-RS
Hall probe: SENIS AG
Air gap: 5mm
Scanning resolution [µm]: 1000
Resolution rotation [°]:  0.1
Custom space line for Area scan: off
Probe offset X: -0.235mT;   Probe offset Y: -0.33mT;   Probe offset Z: -0.193mT;
Position offset X: 0mm;   Position offset Y: 0mm;   Position offset Z: 0mm;
Start position X=-11.999    Start position Y=-0.001    Start position Z=5    Start position R=67.808
System serial number:MMS-1A-RS
Probe serial number: F3A-03K02D-S.2T/01T/25KJ  238-17, Selected measurement range: 200 mT
Calibration date:
Coordinate system: Rot table
Probe angle position: 0 degrees
Filter is turned ON          Lower Cut Off: 2500
Linear speed: 13 mm/s          Rotation speed: 120 deg/s
Graph view for Diameter and Multipole mode for full rotation: Default
****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************


           Slice	            Line	          X [mm]	          Y [mm]	          Z [mm]	  Rotation [deg]	         Bx [mT]	         By [mT]	         Bz [mT]	Rot. Enc [steps]	        Bxy [mT]	       Btot [mT]	Angle error [deg]	       Direction	         R [mm] 	          Z [mm]	     Theta [deg]	Probe temp [°C] 
                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                
           1.000	           1.000	         -11.999	          -0.001	           5.000	           0.000	         -10.833	          -1.199	         -22.861	      -85005.000	          10.899	          25.327	             NaN	              R+	          11.999	           5.000	           0.000	          28.119
           1.000	           1.000	         -11.999	          -0.001	           5.000	           0.100	         -10.876	          -0.979	         -22.904	      -85009.551	          10.920	          25.374	             NaN	              R+	          11.999	           5.000	           0.100	          28.212
           1.000	           1.000	         -11.999	          -0.001	           5.000	           0.200	         -10.789	          -0.895	         -22.917	      -85014.103	          10.826	          25.345	             NaN	              R+	          11.999	           5.000	           0.200	          28.232
           1.000	           1.000	         -11.999	          -0.001	           5.000	           0.300	         -10.891	          -0.720	         -22.941	      -85018.654	          10.915	          25.405	             NaN	              R+	          11.999	           5.000	           0.300	          28.127
           1.000	           1.000	         -11.999	          -0.001	           5.000	           0.400	         -10.885	          -0.492	         -22.970	      -85023.206	          10.896	          25.423	             NaN	              R+	          11.999	           5.000	           0.400	          28.321
           1.000	           1.000	         -11.999	          -0.001	           5.000	           0.500	         -10.860	          -0.370	         -22.909	      -85027.757	          10.866	          25.355	             NaN	              R+	          11.999	           5.000	           0.500	          28.155
           1.000	           1.000	         -11.999	          -0.001	           5.000	           0.600	         -10.896	          -0.168	         -22.964	      -85032.308	          10.897	          25.419	             NaN	              R+	          11.999	           5.000	           0.600	          28.201
           1.000	           1.000	         -11.999	          -0.001	           5.000	           0.700	         -10.903	          -0.057	         -22.958	      -85036.860	          10.903	          25.416	             NaN	              R+	          11.999	           5.000	           0.700	          28.267
           1.000	           1.000	         -11.999	          -0.001	           5.000	           0.800	         -10.881	           0.140	         -22.944	      -85041.411	          10.882	          25.394	             NaN	              R+	          11.999	           5.000	           0.800	          28.201
           1.000	           1.000	         -11.999	          -0.001	           5.000	           0.900	         -10.891	           0.345	         -22.942	      -85045.962	          10.896	          25.398	             NaN	              R+	          11.999	           5.000	           0.900	          28.151
           1.000	           1.000	         -11.999	          -0.001	           5.000	           1.000	         -10.839	           0.470	         -22.987	      -85050.514	          10.849	          25.419	             NaN	              R+	          11.999	           5.000	           1.000	          28.194
           1.000	           1.000	         -11.999	          -0.001	           5.000	           1.100	         -10.871	           0.618	         -22.926	      -85055.065	          10.889	          25.380	             NaN	              R+	          11.999	           5.000	           1.100	          28.171
           1.000	           1.000	         -11.999	          -0.001	           5.000	           1.200	         -10.904	           0.843	         -22.953	      -85059.617	          10.936	          25.426	             NaN	              R+	          11.999	           5.000	           1.200	          28.236
           1.000	           1.000	         -11.999	          -0.001	           5.000	           1.300	         -10.922	           0.928	         -22.921	      -85064.168	          10.961	          25.407	             NaN	              R+	          11.999	           5.000	           1.300	          28.198
           1.000	           1.000	         -11.999	          -0.001	           5.000	           1.400	         -10.870	           1.114	         -22.902	      -85068.719	          10.927	          25.375	             NaN	              R+	          11.999	           5.000	           1.400	          28.288
           1.000	           1.000	         -11.999	          -0.001	           5.000	           1.500	         -10.820	           1.335	         -22.885	      -85073.271	          10.902	          25.349	             NaN	              R+	          11.999	           5.000	           1.500	          28.179
           1.000	           1.000	         -11.999	          -0.001	           5.000	           1.600	         -10.884	           1.572	         -22.818	      -85077.822	          10.997	          25.330	             NaN	              R+	          11.999	           5.000	           1.600	          28.152
           1.000	           1.000	         -11.999	          -0.001	           5.000	           1.700	         -10.818	           1.664	         -22.918	      -85082.374	          10.946	          25.398	             NaN	              R+	          11.999	           5.000	           1.700	          28.271
           1.000	           1.000	         -11.999	          -0.001	           5.000	           1.800	         -10.852	           1.824	         -22.858	      -85086.925	          11.005	          25.369	             NaN	              R+	          11.999	           5.000	           1.800	          28.192
           1.000	           1.000	         -11.999	          -0.001	           5.000	           1.900	         -10.839	           2.046	         -22.820	      -85091.476	          11.030	          25.346	             NaN	              R+	          11.999	           5.000	           1.900	          28.162
           1.000	           1.000	         -11.999	          -0.001	           5.000	           2.000	         -10.821	           2.268	         -22.850	      -85096.028	          11.056	          25.384	             NaN	              R+	          11.999	           5.000	           2.000	          28.158
           1.000	           1.000	         -11.999	          -0.001	           5.000	           2.100	         -10.818	           2.371	         -22.837	      -85100.579	          11.075	          25.381	             NaN	              R+	          11.999	           5.000	           2.100	          28.195
           1.000	           1.000	         -11.999	          -0.001	           5.000	           2.200	         -10.799	           2.565	         -22.820	      -85105.131	          11.100	          25.377	             NaN	              R+	          11.999	           5.000	           2.200	          28.175
           1.000	           1.000	         -11.999	          -0.001	           5.000	           2.300	         -10.796	           2.728	         -22.755	      -85109.682	          11.135	          25.333	             NaN	              R+	          11.999	           5.000	           2.300	          28.188
           1.000	           1.000	         -11.999	          -0.001	           5.000	           2.400	         -10.791	           2.846	         -22.719	      -85114.233	          11.160	          25.312	             NaN	              R+	          11.999	           5.000	           2.400	          28.164
           1.000	           1.000	         -11.999	          -0.001	           5.000	           2.500	         -10.784	           3.050	         -22.618	      -85118.785	          11.206	          25.242	             NaN	              R+	          11.999	           5.000	           2.500	          28.118
           1.000	           1.000	         -11.999	          -0.001	           5.000	           2.600	         -10.747	           3.193	         -22.703	      -85123.336	          11.211	          25.320	             NaN	              R+	          11.999	           5.000	           2.600	          28.201
           1.000	           1.000	         -11.999	          -0.001	           5.000	           2.700	         -10.780	           3.424	         -22.651	      -85127.887	          11.311	          25.318	             NaN	              R+	          11.999	           5.000	           2.700	          28.099
           1.000	           1.000	         -11.999	          -0.001	           5.000	           2.800	         -10.807	           3.528	         -22.600	      -85132.439	          11.368	          25.298	             NaN	              R+	          11.999	           5.000	           2.800	          28.112
           1.000	           1.000	         -11.999	          -0.001	           5.000	           2.900	         -10.768	           3.710	         -22.586	      -85136.990	          11.389	          25.295	             NaN	              R+	          11.999	           5.000	           2.900	          28.131
           1.000	           1.000	         -11.999	          -0.001	           5.000	           3.000	         -10.736	           3.890	         -22.538	      -85141.542	          11.419	          25.265	             NaN	              R+	          11.999	           5.000	           3.000	          28.163
           1.000	           1.000	         -11.999	          -0.001	           5.000	           3.100	         -10.760	           4.052	         -22.538	      -85146.093	          11.498	          25.301	             NaN	              R+	          11.999	           5.000	           3.100	          28.129
           1.000	           1.000	         -11.999	          -0.001	           5.000	           3.200	         -10.699	           4.236	         -22.527	      -85150.644	          11.507	          25.296	             NaN	              R+	          11.999	           5.000	           3.200	          28.166
           1.000	           1.000	         -11.999	          -0.001	           5.000	           3.300	         -10.734	           4.399	         -22.494	      -85155.196	          11.600	          25.309	             NaN	              R+	          11.999	           5.000	           3.300	          28.159
           1.000	           1.000	         -11.999	          -0.001	           5.000	           3.400	         -10.739	           4.520	         -22.357	      -85159.747	          11.651	          25.211	             NaN	              R+	          11.999	           5.000	           3.400	          28.114
           1.000	           1.000	         -11.999	          -0.001	           5.000	           3.500	         -10.696	           4.815	         -22.314	      -85164.299	          11.730	          25.209	             NaN	              R+	          11.999	           5.000	           3.500	          28.119
           1.000	           1.000	         -11.999	          -0.001	           5.000	           3.600	         -10.754	           4.882	         -22.357	      -85168.850	          11.810	          25.284	             NaN	              R+	          11.999	           5.000	           3.600	          28.121
           1.000	           1.000	         -11.999	          -0.001	           5.000	           3.700	         -10.724	           4.977	         -22.268	      -85173.401	          11.823	          25.211	             NaN	              R+	          11.999	           5.000	           3.700	          28.089
           1.000	           1.000	         -11.999	          -0.001	           5.000	           3.800	         -10.716	           5.192	         -22.167	      -85177.953	          11.908	          25.163	             NaN	              R+	          11.999	           5.000	           3.800	          28.189
           1.000	           1.000	         -11.999	          -0.001	           5.000	           3.900	         -10.720	           5.362	         -22.139	      -85182.504	          11.986	          25.176	             NaN	              R+	          11.999	           5.000	           3.900	          28.081
           1.000	           1.000	         -11.999	          -0.001	           5.000	           4.000	         -10.663	           5.596	         -22.136	      -85187.056	          12.042	          25.199	             NaN	              R+	          11.999	           5.000	           4.000	          28.172
           1.000	           1.000	         -11.999	          -0.001	           5.000	           4.100	         -10.629	           5.724	         -22.085	      -85191.607	          12.072	          25.169	             NaN	              R+	          11.999	           5.000	           4.100	          28.125
           1.000	           1.000	         -11.999	          -0.001	           5.000	           4.200	         -10.640	           5.899	         -22.030	      -85196.158	          12.166	          25.166	             NaN	              R+	          11.999	           5.000	           4.200	          28.075
           1.000	           1.000	         -11.999	          -0.001	           5.000	           4.300	         -10.704	           6.028	         -22.017	      -85200.710	          12.284	          25.212	             NaN	              R+	          11.999	           5.000	           4.300	          28.069
           1.000	           1.000	         -11.999	          -0.001	           5.000	           4.400	         -10.625	           6.190	         -21.915	      -85205.261	          12.296	          25.129	             NaN	              R+	          11.999	           5.000	           4.400	          28.031
           1.000	           1.000	         -11.999	          -0.001	           5.000	           4.500	         -10.572	           6.351	         -21.797	      -85209.812	          12.333	          25.044	             NaN	              R+	          11.999	           5.000	           4.500	          28.166
           1.000	           1.000	         -11.999	          -0.001	           5.000	           4.600	         -10.573	           6.552	         -21.763	      -85214.364	          12.439	          25.067	             NaN	              R+	          11.999	           5.000	           4.600	          28.172
           1.000	           1.000	         -11.999	          -0.001	           5.000	           4.700	         -10.584	           6.705	         -21.797	      -85218.915	          12.529	          25.141	             NaN	              R+	          11.999	           5.000	           4.700	          28.102
           1.000	           1.000	         -11.999	          -0.001	           5.000	           4.800	         -10.612	           6.821	         -21.720	      -85223.467	          12.615	          25.117	             NaN	              R+	          11.999	           5.000	           4.800	          28.124
           1.000	           1.000	         -11.999	          -0.001	           5.000	           4.900	         -10.546	           7.000	         -21.605	      -85228.018	          12.657	          25.040	             NaN	              R+	          11.999	           5.000	           4.900	          28.053
           1.000	           1.000	         -11.999	          -0.001	           5.000	           5.000	         -10.531	           7.140	         -21.511	      -85232.569	          12.723	          24.992	             NaN	              R+	          11.999	           5.000	           5.000	          28.128
           1.000	           1.000	         -11.999	          -0.001	           5.000	           5.100	         -10.521	           7.282	         -21.408	      -85237.121	          12.796	          24.941	             NaN	              R+	          11.999	           5.000	           5.100	          28.130
           1.000	           1.000	         -11.999	          -0.001	           5.000	           5.200	         -10.438	           7.422	         -21.397	      -85241.672	          12.808	          24.937	             NaN	              R+	          11.999	           5.000	           5.200	          28.137
           1.000	           1.000	         -11.999	          -0.001	           5.000	           5.300	         -10.455	           7.659	         -21.353	      -85246.224	          12.961	          24.979	             NaN	              R+	          11.999	           5.000	           5.300	          28.085
           1.000	           1.000	         -11.999	          -0.001	           5.000	           5.400	         -10.446	           7.909	         -21.228	      -85250.775	          13.103	          24.946	             NaN	              R+	          11.999	           5.000	           5.400	          28.114
           1.000	           1.000	         -11.999	          -0.001	           5.000	           5.500	         -10.509	           7.976	         -21.190	      -85255.326	          13.193	          24.961	             NaN	              R+	          11.999	           5.000	           5.500	          28.042
           1.000	           1.000	         -11.999	          -0.001	           5.000	           5.600	         -10.469	           8.087	         -21.122	      -85259.878	          13.229	          24.922	             NaN	              R+	          11.999	           5.000	           5.600	          28.080
           1.000	           1.000	         -11.999	          -0.001	           5.000	           5.700	         -10.378	           8.327	         -21.105	      -85264.429	          13.305	          24.949	             NaN	              R+	          11.999	           5.000	           5.700	          28.079
           1.000	           1.000	         -11.999	          -0.001	           5.000	           5.800	         -10.326	           8.425	         -20.985	      -85268.981	          13.327	          24.859	             NaN	              R+	          11.999	           5.000	           5.800	          28.119
           1.000	           1.000	         -11.999	          -0.001	           5.000	           5.900	         -10.316	           8.545	         -20.884	      -85273.532	          13.395	          24.811	             NaN	              R+	          11.999	           5.000	           5.900	          28.079
           1.000	           1.000	         -11.999	          -0.001	           5.000	           6.000	         -10.377	           8.741	         -20.846	      -85278.083	          13.568	          24.873	             NaN	              R+	          11.999	           5.000	           6.000	          28.161
