Measurement mode: Multipole mode
Scanning path: 
Sr+360
****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************
File name: IPM_1i2_centre
Date: 12.07.2018
Time: 16:41
Sample: 1mm
Gaussmeter: MMS-1A-RS
Hall probe: SENIS AG
Air gap: 1mm
Scanning resolution [µm]: 1000
Resolution rotation [°]:  0.1
Custom space line for Area scan: off
Probe offset X: -0.235mT;   Probe offset Y: -0.33mT;   Probe offset Z: -0.193mT;
Position offset X: 0mm;   Position offset Y: 0mm;   Position offset Z: 0mm;
Start position X=-17.003    Start position Y=-0.001    Start position Z=-11.5    Start position R=67.786
System serial number:MMS-1A-RS
Probe serial number: F3A-03K02D-S.2T/01T/25KJ  238-17, Selected measurement range: 200 mT
Calibration date:
Coordinate system: Rot table
Probe angle position: 0 degrees
Filter is turned ON          Lower Cut Off: 2500
Linear speed: 13 mm/s          Rotation speed: 120 deg/s
Graph view for Diameter and Multipole mode for full rotation: Default
****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************


           Slice	            Line	          X [mm]	          Y [mm]	          Z [mm]	  Rotation [deg]	         Bx [mT]	         By [mT]	         Bz [mT]	Rot. Enc [steps]	        Bxy [mT]	       Btot [mT]	Angle error [deg]	       Direction	         R [mm] 	          Z [mm]	     Theta [deg]	Probe temp [°C] 
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           2.600	          80.949	           6.465	           0.369	       13139.967	          81.207	          81.207	             NaN	              R+	          17.003	         -11.500	           2.600	          27.873
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           2.700	          81.069	           6.890	           0.367	       13135.427	          81.362	          81.362	             NaN	              R+	          17.003	         -11.500	           2.700	          27.921
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           2.800	          81.128	           7.230	           0.308	       13130.888	          81.449	          81.450	             NaN	              R+	          17.003	         -11.500	           2.800	          27.926
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           2.900	          81.237	           7.668	           0.358	       13126.348	          81.598	          81.599	             NaN	              R+	          17.003	         -11.500	           2.900	          27.856
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           3.000	          81.353	           7.997	           0.368	       13121.808	          81.745	          81.746	             NaN	              R+	          17.003	         -11.500	           3.000	          27.923
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           3.100	          81.508	           8.332	           0.373	       13117.269	          81.933	          81.934	             NaN	              R+	          17.003	         -11.500	           3.100	          27.895
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           3.200	          81.701	           8.784	           0.282	       13112.729	          82.172	          82.172	             NaN	              R+	          17.003	         -11.500	           3.200	          27.928
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           3.300	          81.814	           9.266	           0.381	       13108.189	          82.337	          82.338	             NaN	              R+	          17.003	         -11.500	           3.300	          27.848
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           3.400	          81.901	           9.623	           0.353	       13103.649	          82.464	          82.465	             NaN	              R+	          17.003	         -11.500	           3.400	          27.833
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           3.500	          82.038	           9.982	           0.376	       13099.110	          82.643	          82.644	             NaN	              R+	          17.003	         -11.500	           3.500	          27.822
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           3.600	          82.194	          10.440	           0.412	       13094.570	          82.854	          82.855	             NaN	              R+	          17.003	         -11.500	           3.600	          27.896
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           3.700	          82.355	          10.884	           0.323	       13090.030	          83.071	          83.072	             NaN	              R+	          17.003	         -11.500	           3.700	          27.923
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           3.800	          82.509	          11.237	           0.329	       13085.491	          83.271	          83.272	             NaN	              R+	          17.003	         -11.500	           3.800	          27.848
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           3.900	          82.675	          11.748	           0.374	       13080.951	          83.506	          83.506	             NaN	              R+	          17.003	         -11.500	           3.900	          27.925
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           4.000	          82.825	          12.198	           0.401	       13076.411	          83.718	          83.719	             NaN	              R+	          17.003	         -11.500	           4.000	          27.891
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           4.100	          82.955	          12.637	           0.371	       13071.871	          83.912	          83.912	             NaN	              R+	          17.003	         -11.500	           4.100	          27.975
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           4.200	          83.060	          13.028	           0.346	       13067.332	          84.075	          84.076	             NaN	              R+	          17.003	         -11.500	           4.200	          27.924
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           4.300	          83.362	          13.540	           0.372	       13062.792	          84.454	          84.455	             NaN	              R+	          17.003	         -11.500	           4.300	          27.815
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           4.400	          83.574	          14.040	           0.392	       13058.252	          84.745	          84.746	             NaN	              R+	          17.003	         -11.500	           4.400	          27.918
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           4.500	          83.714	          14.521	           0.384	       13053.712	          84.964	          84.965	             NaN	              R+	          17.003	         -11.500	           4.500	          27.914
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           4.600	          83.872	          15.033	           0.412	       13049.173	          85.208	          85.209	             NaN	              R+	          17.003	         -11.500	           4.600	          27.852
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           4.700	          84.077	          15.518	           0.355	       13044.633	          85.497	          85.498	             NaN	              R+	          17.003	         -11.500	           4.700	          27.892
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           4.800	          84.244	          16.033	           0.351	       13040.093	          85.756	          85.757	             NaN	              R+	          17.003	         -11.500	           4.800	          27.820
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           4.900	          84.495	          16.550	           0.338	       13035.554	          86.101	          86.101	             NaN	              R+	          17.003	         -11.500	           4.900	          27.790
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           5.000	          84.635	          16.992	           0.315	       13031.014	          86.324	          86.324	             NaN	              R+	          17.003	         -11.500	           5.000	          27.846
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           5.100	          84.835	          17.464	           0.382	       13026.474	          86.614	          86.615	             NaN	              R+	          17.003	         -11.500	           5.100	          27.778
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           5.200	          85.095	          18.052	           0.340	       13021.934	          86.989	          86.990	             NaN	              R+	          17.003	         -11.500	           5.200	          27.938
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           5.300	          85.189	          18.601	           0.356	       13017.395	          87.196	          87.196	             NaN	              R+	          17.003	         -11.500	           5.300	          27.860
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           5.400	          85.424	          19.279	           0.366	       13012.855	          87.573	          87.573	             NaN	              R+	          17.003	         -11.500	           5.400	          27.910
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           5.500	          85.632	          19.855	           0.373	       13008.315	          87.904	          87.905	             NaN	              R+	          17.003	         -11.500	           5.500	          27.909
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           5.600	          85.857	          20.387	           0.363	       13003.776	          88.244	          88.245	             NaN	              R+	          17.003	         -11.500	           5.600	          27.890
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           5.700	          86.047	          20.983	           0.311	       12999.236	          88.568	          88.569	             NaN	              R+	          17.003	         -11.500	           5.700	          27.870
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           5.800	          86.246	          21.635	           0.312	       12994.696	          88.918	          88.919	             NaN	              R+	          17.003	         -11.500	           5.800	          27.864
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           5.900	          86.511	          22.247	           0.359	       12990.156	          89.325	          89.326	             NaN	              R+	          17.003	         -11.500	           5.900	          27.888
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           6.000	          86.751	          22.779	           0.282	       12985.617	          89.692	          89.693	             NaN	              R+	          17.003	         -11.500	           6.000	          27.852
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           6.100	          86.923	          23.496	           0.367	       12981.077	          90.043	          90.044	             NaN	              R+	          17.003	         -11.500	           6.100	          27.853
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           6.200	          87.118	          24.137	           0.390	       12976.537	          90.400	          90.400	             NaN	              R+	          17.003	         -11.500	           6.200	          27.827
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           6.300	          87.341	          24.829	           0.374	       12971.997	          90.802	          90.802	             NaN	              R+	          17.003	         -11.500	           6.300	          27.808
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           6.400	          87.566	          25.558	           0.336	       12967.458	          91.220	          91.221	             NaN	              R+	          17.003	         -11.500	           6.400	          27.829
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           6.500	          87.784	          26.276	           0.313	       12962.918	          91.633	          91.633	             NaN	              R+	          17.003	         -11.500	           6.500	          27.855
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           6.600	          88.036	          26.942	           0.356	       12958.378	          92.066	          92.067	             NaN	              R+	          17.003	         -11.500	           6.600	          27.851
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           6.700	          88.168	          27.671	           0.279	       12953.839	          92.408	          92.409	             NaN	              R+	          17.003	         -11.500	           6.700	          27.825
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           6.800	          88.369	          28.457	           0.386	       12949.299	          92.838	          92.838	             NaN	              R+	          17.003	         -11.500	           6.800	          27.779
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           6.900	          88.561	          29.239	           0.376	       12944.759	          93.263	          93.263	             NaN	              R+	          17.003	         -11.500	           6.900	          27.808
