Measurement mode: Multipole mode
Scanning path: 
Sr+360
****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************
File name: IPM_1i2_dessus_r12
Date: 12.07.2018
Time: 16:45
Sample: 3mm
Gaussmeter: MMS-1A-RS
Hall probe: SENIS AG
Air gap: 3mm
Scanning resolution [µm]: 1000
Resolution rotation [°]:  0.1
Custom space line for Area scan: off
Probe offset X: -0.235mT;   Probe offset Y: -0.33mT;   Probe offset Z: -0.193mT;
Position offset X: 0mm;   Position offset Y: 0mm;   Position offset Z: 0mm;
Start position X=-11.999    Start position Y=-0.001    Start position Z=3.001    Start position R=67.786
System serial number:MMS-1A-RS
Probe serial number: F3A-03K02D-S.2T/01T/25KJ  238-17, Selected measurement range: 200 mT
Calibration date:
Coordinate system: Rot table
Probe angle position: 0 degrees
Filter is turned ON          Lower Cut Off: 2500
Linear speed: 13 mm/s          Rotation speed: 120 deg/s
Graph view for Diameter and Multipole mode for full rotation: Default
****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************


           Slice	            Line	          X [mm]	          Y [mm]	          Z [mm]	  Rotation [deg]	         Bx [mT]	         By [mT]	         Bz [mT]	Rot. Enc [steps]	        Bxy [mT]	       Btot [mT]	Angle error [deg]	       Direction	         R [mm] 	          Z [mm]	     Theta [deg]	Probe temp [°C] 
           1.000	           1.000	         -11.999	          -0.001	           3.001	           2.600	         -14.885	           7.654	         -54.712	      -68740.322	          16.737	          57.215	             NaN	              R+	          11.999	           3.001	           2.600	          28.371
           1.000	           1.000	         -11.999	          -0.001	           3.001	           2.700	         -14.915	           8.046	         -54.610	      -68744.872	          16.947	          57.179	             NaN	              R+	          11.999	           3.001	           2.700	          28.292
           1.000	           1.000	         -11.999	          -0.001	           3.001	           2.800	         -14.844	           8.425	         -54.565	      -68749.423	          17.069	          57.172	             NaN	              R+	          11.999	           3.001	           2.800	          28.370
           1.000	           1.000	         -11.999	          -0.001	           3.001	           2.900	         -14.946	           8.895	         -54.422	      -68753.974	          17.392	          57.134	             NaN	              R+	          11.999	           3.001	           2.900	          28.395
           1.000	           1.000	         -11.999	          -0.001	           3.001	           3.000	         -14.926	           9.266	         -54.390	      -68758.525	          17.569	          57.157	             NaN	              R+	          11.999	           3.001	           3.000	          28.268
           1.000	           1.000	         -11.999	          -0.001	           3.001	           3.100	         -14.903	           9.586	         -54.295	      -68763.076	          17.720	          57.113	             NaN	              R+	          11.999	           3.001	           3.100	          28.270
           1.000	           1.000	         -11.999	          -0.001	           3.001	           3.200	         -14.882	          10.065	         -54.240	      -68767.627	          17.966	          57.138	             NaN	              R+	          11.999	           3.001	           3.200	          28.297
           1.000	           1.000	         -11.999	          -0.001	           3.001	           3.300	         -14.876	          10.516	         -54.039	      -68772.178	          18.217	          57.027	             NaN	              R+	          11.999	           3.001	           3.300	          28.312
           1.000	           1.000	         -11.999	          -0.001	           3.001	           3.400	         -14.828	          10.790	         -53.967	      -68776.728	          18.338	          56.998	             NaN	              R+	          11.999	           3.001	           3.400	          28.309
           1.000	           1.000	         -11.999	          -0.001	           3.001	           3.500	         -14.817	          11.193	         -53.926	      -68781.279	          18.570	          57.034	             NaN	              R+	          11.999	           3.001	           3.500	          28.304
           1.000	           1.000	         -11.999	          -0.001	           3.001	           3.600	         -14.830	          11.600	         -53.835	      -68785.830	          18.828	          57.032	             NaN	              R+	          11.999	           3.001	           3.600	          28.255
           1.000	           1.000	         -11.999	          -0.001	           3.001	           3.700	         -14.808	          12.022	         -53.695	      -68790.381	          19.073	          56.982	             NaN	              R+	          11.999	           3.001	           3.700	          28.393
           1.000	           1.000	         -11.999	          -0.001	           3.001	           3.800	         -14.839	          12.416	         -53.529	      -68794.932	          19.348	          56.918	             NaN	              R+	          11.999	           3.001	           3.800	          28.298
           1.000	           1.000	         -11.999	          -0.001	           3.001	           3.900	         -14.810	          12.869	         -53.454	      -68799.482	          19.620	          56.941	             NaN	              R+	          11.999	           3.001	           3.900	          28.326
           1.000	           1.000	         -11.999	          -0.001	           3.001	           4.000	         -14.758	          13.179	         -53.416	      -68804.033	          19.786	          56.963	             NaN	              R+	          11.999	           3.001	           4.000	          28.353
