Measurement mode: Multipole mode
Scanning path: 
Sr+360
****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************
File name: IPM_evide_surface
Date: 12.07.2018
Time: 16:32
Sample: 1mm
Gaussmeter: MMS-1A-RS
Hall probe: SENIS AG
Air gap: 1mm
Scanning resolution [µm]: 1000
Resolution rotation [°]:  0.1
Custom space line for Area scan: off
Probe offset X: -0.235mT;   Probe offset Y: -0.33mT;   Probe offset Z: -0.193mT;
Position offset X: 0mm;   Position offset Y: 0mm;   Position offset Z: 0mm;
Start position X=-16.999    Start position Y=-0.001    Start position Z=0.001    Start position R=67.808
System serial number:MMS-1A-RS
Probe serial number: F3A-03K02D-S.2T/01T/25KJ  238-17, Selected measurement range: 200 mT
Calibration date:
Coordinate system: Rot table
Probe angle position: 0 degrees
Filter is turned ON          Lower Cut Off: 2500
Linear speed: 13 mm/s          Rotation speed: 120 deg/s
Graph view for Diameter and Multipole mode for full rotation: Default
****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************


           Slice	            Line	          X [mm]	          Y [mm]	          Z [mm]	  Rotation [deg]	         Bx [mT]	         By [mT]	         Bz [mT]	Rot. Enc [steps]	        Bxy [mT]	       Btot [mT]	Angle error [deg]	       Direction	         R [mm] 	          Z [mm]	     Theta [deg]	Probe temp [°C] 
                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                
           1.000	           1.000	         -16.999	          -0.001	           0.001	           0.000	          88.505	          -8.416	         -44.914	       95218.000	          88.904	          99.605	             NaN	              R+	          16.999	           0.001	           0.000	          29.187
           1.000	           1.000	         -16.999	          -0.001	           0.001	           0.100	          88.512	          -8.118	         -45.024	       95213.449	          88.883	          99.636	             NaN	              R+	          16.999	           0.001	           0.100	          29.184
           1.000	           1.000	         -16.999	          -0.001	           0.001	           0.200	          88.461	          -7.749	         -44.911	       95208.898	          88.800	          99.511	             NaN	              R+	          16.999	           0.001	           0.200	          29.158
           1.000	           1.000	         -16.999	          -0.001	           0.001	           0.300	          88.426	          -7.386	         -44.980	       95204.347	          88.734	          99.483	             NaN	              R+	          16.999	           0.001	           0.300	          29.303
           1.000	           1.000	         -16.999	          -0.001	           0.001	           0.400	          88.376	          -6.994	         -44.907	       95199.796	          88.653	          99.378	             NaN	              R+	          16.999	           0.001	           0.400	          29.158
           1.000	           1.000	         -16.999	          -0.001	           0.001	           0.500	          88.362	          -6.639	         -44.930	       95195.244	          88.611	          99.351	             NaN	              R+	          16.999	           0.001	           0.500	          29.208
           1.000	           1.000	         -16.999	          -0.001	           0.001	           0.600	          88.334	          -6.319	         -44.981	       95190.693	          88.559	          99.328	             NaN	              R+	          16.999	           0.001	           0.600	          29.228
           1.000	           1.000	         -16.999	          -0.001	           0.001	           0.700	          88.166	          -5.943	         -44.951	       95186.142	          88.366	          99.142	             NaN	              R+	          16.999	           0.001	           0.700	          29.155
           1.000	           1.000	         -16.999	          -0.001	           0.001	           0.800	          88.171	          -5.627	         -44.885	       95181.591	          88.350	          99.098	             NaN	              R+	          16.999	           0.001	           0.800	          29.168
           1.000	           1.000	         -16.999	          -0.001	           0.001	           0.900	          88.120	          -5.206	         -44.869	       95177.040	          88.274	          99.023	             NaN	              R+	          16.999	           0.001	           0.900	          29.263
           1.000	           1.000	         -16.999	          -0.001	           0.001	           1.000	          88.116	          -4.879	         -44.834	       95172.489	          88.251	          98.987	             NaN	              R+	          16.999	           0.001	           1.000	          29.218
           1.000	           1.000	         -16.999	          -0.001	           0.001	           1.100	          88.082	          -4.627	         -44.856	       95167.938	          88.203	          98.954	             NaN	              R+	          16.999	           0.001	           1.100	          29.187
           1.000	           1.000	         -16.999	          -0.001	           0.001	           1.200	          88.131	          -4.157	         -44.918	       95163.387	          88.229	          99.005	             NaN	              R+	          16.999	           0.001	           1.200	          29.188
           1.000	           1.000	         -16.999	          -0.001	           0.001	           1.300	          88.068	          -3.903	         -44.845	       95158.836	          88.154	          98.905	             NaN	              R+	          16.999	           0.001	           1.300	          29.148
           1.000	           1.000	         -16.999	          -0.001	           0.001	           1.400	          87.960	          -3.453	         -44.821	       95154.284	          88.028	          98.782	             NaN	              R+	          16.999	           0.001	           1.400	          29.197
           1.000	           1.000	         -16.999	          -0.001	           0.001	           1.500	          88.026	          -3.073	         -44.891	       95149.733	          88.079	          98.860	             NaN	              R+	          16.999	           0.001	           1.500	          29.123
           1.000	           1.000	         -16.999	          -0.001	           0.001	           1.600	          88.019	          -2.753	         -44.841	       95145.182	          88.062	          98.821	             NaN	              R+	          16.999	           0.001	           1.600	          29.250
           1.000	           1.000	         -16.999	          -0.001	           0.001	           1.700	          87.837	          -2.431	         -44.777	       95140.631	          87.871	          98.622	             NaN	              R+	          16.999	           0.001	           1.700	          29.233
           1.000	           1.000	         -16.999	          -0.001	           0.001	           1.800	          87.850	          -2.081	         -44.704	       95136.080	          87.875	          98.592	             NaN	              R+	          16.999	           0.001	           1.800	          29.338
           1.000	           1.000	         -16.999	          -0.001	           0.001	           1.900	          87.976	          -1.673	         -44.865	       95131.529	          87.992	          98.770	             NaN	              R+	          16.999	           0.001	           1.900	          29.194
           1.000	           1.000	         -16.999	          -0.001	           0.001	           2.000	          87.919	          -1.342	         -44.895	       95126.978	          87.929	          98.728	             NaN	              R+	          16.999	           0.001	           2.000	          29.148
           1.000	           1.000	         -16.999	          -0.001	           0.001	           2.100	          87.784	          -1.066	         -44.726	       95122.427	          87.790	          98.527	             NaN	              R+	          16.999	           0.001	           2.100	          29.302
