Measurement mode: Multipole mode
Scanning path: 
Sr+360
****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************
File name: IPM_evide_dessus_r12
Date: 12.07.2018
Time: 16:34
Sample: 1mm
Gaussmeter: MMS-1A-RS
Hall probe: SENIS AG
Air gap: 1mm
Scanning resolution [µm]: 1000
Resolution rotation [°]:  0.1
Custom space line for Area scan: off
Probe offset X: -0.235mT;   Probe offset Y: -0.33mT;   Probe offset Z: -0.193mT;
Position offset X: 0mm;   Position offset Y: 0mm;   Position offset Z: 0mm;
Start position X=-11.998    Start position Y=-0.001    Start position Z=1    Start position R=67.808
System serial number:MMS-1A-RS
Probe serial number: F3A-03K02D-S.2T/01T/25KJ  238-17, Selected measurement range: 200 mT
Calibration date:
Coordinate system: Rot table
Probe angle position: 0 degrees
Filter is turned ON          Lower Cut Off: 2500
Linear speed: 13 mm/s          Rotation speed: 120 deg/s
Graph view for Diameter and Multipole mode for full rotation: Default
****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************


           Slice	            Line	          X [mm]	          Y [mm]	          Z [mm]	  Rotation [deg]	         Bx [mT]	         By [mT]	         Bz [mT]	Rot. Enc [steps]	        Bxy [mT]	       Btot [mT]	Angle error [deg]	       Direction	         R [mm] 	          Z [mm]	     Theta [deg]	Probe temp [°C] 
           1.000	           1.000	         -11.998	          -0.001	           1.000	           2.600	          -5.518	           5.561	        -125.921	       62332.664	           7.834	         126.165	             NaN	              R+	          11.998	           1.000	           2.600	          28.639
           1.000	           1.000	         -11.998	          -0.001	           1.000	           2.700	          -5.633	           6.359	        -126.043	       62328.113	           8.495	         126.329	             NaN	              R+	          11.998	           1.000	           2.700	          28.577
           1.000	           1.000	         -11.998	          -0.001	           1.000	           2.800	          -5.623	           7.092	        -126.197	       62323.561	           9.051	         126.521	             NaN	              R+	          11.998	           1.000	           2.800	          28.618
           1.000	           1.000	         -11.998	          -0.001	           1.000	           2.900	          -5.709	           7.838	        -126.280	       62319.010	           9.697	         126.652	             NaN	              R+	          11.998	           1.000	           2.900	          28.622
           1.000	           1.000	         -11.998	          -0.001	           1.000	           3.000	          -5.768	           8.498	        -126.429	       62314.458	          10.271	         126.846	             NaN	              R+	          11.998	           1.000	           3.000	          28.692
           1.000	           1.000	         -11.998	          -0.001	           1.000	           3.100	          -5.837	           9.182	        -126.564	       62309.907	          10.880	         127.031	             NaN	              R+	          11.998	           1.000	           3.100	          28.626
           1.000	           1.000	         -11.998	          -0.001	           1.000	           3.200	          -6.024	           9.961	        -126.636	       62305.356	          11.641	         127.170	             NaN	              R+	          11.998	           1.000	           3.200	          28.651
           1.000	           1.000	         -11.998	          -0.001	           1.000	           3.300	          -6.012	          10.711	        -126.839	       62300.804	          12.283	         127.432	             NaN	              R+	          11.998	           1.000	           3.300	          28.615
           1.000	           1.000	         -11.998	          -0.001	           1.000	           3.400	          -6.188	          11.511	        -126.953	       62296.253	          13.069	         127.624	             NaN	              R+	          11.998	           1.000	           3.400	          28.655
           1.000	           1.000	         -11.998	          -0.001	           1.000	           3.500	          -6.198	          12.225	        -127.166	       62291.701	          13.707	         127.903	             NaN	              R+	          11.998	           1.000	           3.500	          28.669
           1.000	           1.000	         -11.998	          -0.001	           1.000	           3.600	          -6.307	          12.994	        -127.302	       62287.150	          14.443	         128.119	             NaN	              R+	          11.998	           1.000	           3.600	          28.657
           1.000	           1.000	         -11.998	          -0.001	           1.000	           3.700	          -6.425	          13.802	        -127.388	       62282.599	          15.225	         128.294	             NaN	              R+	          11.998	           1.000	           3.700	          28.630
           1.000	           1.000	         -11.998	          -0.001	           1.000	           3.800	          -6.481	          14.561	        -127.544	       62278.047	          15.938	         128.536	             NaN	              R+	          11.998	           1.000	           3.800	          28.659
           1.000	           1.000	         -11.998	          -0.001	           1.000	           3.900	          -6.580	          15.363	        -127.739	       62273.496	          16.713	         128.828	             NaN	              R+	          11.998	           1.000	           3.900	          28.656
           1.000	           1.000	         -11.998	          -0.001	           1.000	           4.000	          -6.761	          16.183	        -127.909	       62268.944	          17.539	         129.106	             NaN	              R+	          11.998	           1.000	           4.000	          28.624
           1.000	           1.000	         -11.998	          -0.001	           1.000	           4.100	          -6.854	          17.112	        -128.014	       62264.393	          18.434	         129.334	             NaN	              R+	          11.998	           1.000	           4.100	          28.612
