Measurement mode: Multipole mode
Scanning path: 
Sr+360
****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************
File name: IPM_1i2_surface
Date: 12.07.2018
Time: 16:42
Sample: 1mm
Gaussmeter: MMS-1A-RS
Hall probe: SENIS AG
Air gap: 1mm
Scanning resolution [µm]: 1000
Resolution rotation [°]:  0.1
Custom space line for Area scan: off
Probe offset X: -0.235mT;   Probe offset Y: -0.33mT;   Probe offset Z: -0.193mT;
Position offset X: 0mm;   Position offset Y: 0mm;   Position offset Z: 0mm;
Start position X=-16.999    Start position Y=-0.001    Start position Z=0.001    Start position R=67.786
System serial number:MMS-1A-RS
Probe serial number: F3A-03K02D-S.2T/01T/25KJ  238-17, Selected measurement range: 200 mT
Calibration date:
Coordinate system: Rot table
Probe angle position: 0 degrees
Filter is turned ON          Lower Cut Off: 2500
Linear speed: 13 mm/s          Rotation speed: 120 deg/s
Graph view for Diameter and Multipole mode for full rotation: Default
****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************


           Slice	            Line	          X [mm]	          Y [mm]	          Z [mm]	  Rotation [deg]	         Bx [mT]	         By [mT]	         Bz [mT]	Rot. Enc [steps]	        Bxy [mT]	       Btot [mT]	Angle error [deg]	       Direction	         R [mm] 	          Z [mm]	     Theta [deg]	Probe temp [°C] 
           1.000	           1.000	         -16.999	          -0.001	           0.001	           2.600	          80.581	           2.917	         -45.804	      -35972.322	          80.633	          92.735	             NaN	              R+	          16.999	           0.001	           2.600	          28.158
           1.000	           1.000	         -16.999	          -0.001	           0.001	           2.700	          80.670	           3.243	         -45.907	      -35976.872	          80.735	          92.874	             NaN	              R+	          16.999	           0.001	           2.700	          28.167
           1.000	           1.000	         -16.999	          -0.001	           0.001	           2.800	          80.762	           3.606	         -45.890	      -35981.423	          80.843	          92.960	             NaN	              R+	          16.999	           0.001	           2.800	          28.181
           1.000	           1.000	         -16.999	          -0.001	           0.001	           2.900	          80.657	           3.914	         -45.790	      -35985.974	          80.752	          92.831	             NaN	              R+	          16.999	           0.001	           2.900	          28.157
           1.000	           1.000	         -16.999	          -0.001	           0.001	           3.000	          80.608	           4.206	         -45.837	      -35990.525	          80.717	          92.824	             NaN	              R+	          16.999	           0.001	           3.000	          28.238
           1.000	           1.000	         -16.999	          -0.001	           0.001	           3.100	          80.738	           4.515	         -45.788	      -35995.076	          80.864	          92.927	             NaN	              R+	          16.999	           0.001	           3.100	          28.236
           1.000	           1.000	         -16.999	          -0.001	           0.001	           3.200	          80.818	           4.885	         -45.899	      -35999.627	          80.966	          93.071	             NaN	              R+	          16.999	           0.001	           3.200	          28.206
           1.000	           1.000	         -16.999	          -0.001	           0.001	           3.300	          80.952	           5.194	         -45.933	      -36004.177	          81.119	          93.221	             NaN	              R+	          16.999	           0.001	           3.300	          28.168
           1.000	           1.000	         -16.999	          -0.001	           0.001	           3.400	          80.974	           5.555	         -45.927	      -36008.728	          81.165	          93.258	             NaN	              R+	          16.999	           0.001	           3.400	          28.201
           1.000	           1.000	         -16.999	          -0.001	           0.001	           3.500	          80.912	           5.872	         -45.835	      -36013.279	          81.125	          93.178	             NaN	              R+	          16.999	           0.001	           3.500	          28.193
           1.000	           1.000	         -16.999	          -0.001	           0.001	           3.600	          80.947	           6.345	         -45.862	      -36017.830	          81.195	          93.252	             NaN	              R+	          16.999	           0.001	           3.600	          28.198
           1.000	           1.000	         -16.999	          -0.001	           0.001	           3.700	          81.066	           6.581	         -45.907	      -36022.381	          81.333	          93.394	             NaN	              R+	          16.999	           0.001	           3.700	          28.118
           1.000	           1.000	         -16.999	          -0.001	           0.001	           3.800	          81.161	           6.953	         -45.908	      -36026.932	          81.459	          93.504	             NaN	              R+	          16.999	           0.001	           3.800	          28.194
           1.000	           1.000	         -16.999	          -0.001	           0.001	           3.900	          81.307	           7.304	         -46.007	      -36031.482	          81.634	          93.706	             NaN	              R+	          16.999	           0.001	           3.900	          28.226
           1.000	           1.000	         -16.999	          -0.001	           0.001	           4.000	          81.314	           7.606	         -45.957	      -36036.033	          81.669	          93.712	             NaN	              R+	          16.999	           0.001	           4.000	          28.165
           1.000	           1.000	         -16.999	          -0.001	           0.001	           4.100	          81.311	           7.962	         -45.954	      -36040.584	          81.700	          93.737	             NaN	              R+	          16.999	           0.001	           4.100	          28.256
           1.000	           1.000	         -16.999	          -0.001	           0.001	           4.200	          81.296	           8.296	         -45.878	      -36045.135	          81.718	          93.716	             NaN	              R+	          16.999	           0.001	           4.200	          28.208
           1.000	           1.000	         -16.999	          -0.001	           0.001	           4.300	          81.444	           8.700	         -45.949	      -36049.686	          81.907	          93.915	             NaN	              R+	          16.999	           0.001	           4.300	          28.168
           1.000	           1.000	         -16.999	          -0.001	           0.001	           4.400	          81.542	           9.044	         -46.062	      -36054.237	          82.042	          94.088	             NaN	              R+	          16.999	           0.001	           4.400	          28.191
           1.000	           1.000	         -16.999	          -0.001	           0.001	           4.500	          81.617	           9.431	         -46.063	      -36058.787	          82.160	          94.192	             NaN	              R+	          16.999	           0.001	           4.500	          28.236
           1.000	           1.000	         -16.999	          -0.001	           0.001	           4.600	          81.664	           9.840	         -46.031	      -36063.338	          82.255	          94.259	             NaN	              R+	          16.999	           0.001	           4.600	          28.227
