Measurement mode: Multipole mode
Scanning path: 
Sr+360
****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************
File name: IPM_evide_dessus_r12
Date: 12.07.2018
Time: 16:35
Sample: 3mm
Gaussmeter: MMS-1A-RS
Hall probe: SENIS AG
Air gap: 3mm
Scanning resolution [µm]: 1000
Resolution rotation [°]:  0.1
Custom space line for Area scan: off
Probe offset X: -0.235mT;   Probe offset Y: -0.33mT;   Probe offset Z: -0.193mT;
Position offset X: 0mm;   Position offset Y: 0mm;   Position offset Z: 0mm;
Start position X=-11.997    Start position Y=-0.001    Start position Z=3    Start position R=67.808
System serial number:MMS-1A-RS
Probe serial number: F3A-03K02D-S.2T/01T/25KJ  238-17, Selected measurement range: 200 mT
Calibration date:
Coordinate system: Rot table
Probe angle position: 0 degrees
Filter is turned ON          Lower Cut Off: 2500
Linear speed: 13 mm/s          Rotation speed: 120 deg/s
Graph view for Diameter and Multipole mode for full rotation: Default
****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************


           Slice	            Line	          X [mm]	          Y [mm]	          Z [mm]	  Rotation [deg]	         Bx [mT]	         By [mT]	         Bz [mT]	Rot. Enc [steps]	        Bxy [mT]	       Btot [mT]	Angle error [deg]	       Direction	         R [mm] 	          Z [mm]	     Theta [deg]	Probe temp [°C] 
                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                
           1.000	           1.000	         -11.997	          -0.001	           3.000	           0.000	          -9.453	          -7.105	         -57.391	       46066.000	          11.825	          58.597	             NaN	              R+	          11.997	           3.000	           0.000	          28.691
           1.000	           1.000	         -11.997	          -0.001	           3.000	           0.100	          -9.429	          -6.678	         -57.508	       46061.449	          11.554	          58.657	             NaN	              R+	          11.997	           3.000	           0.100	          28.792
           1.000	           1.000	         -11.997	          -0.001	           3.000	           0.200	          -9.461	          -6.230	         -57.526	       46056.898	          11.328	          58.630	             NaN	              R+	          11.997	           3.000	           0.200	          28.710
           1.000	           1.000	         -11.997	          -0.001	           3.000	           0.300	          -9.487	          -5.770	         -57.614	       46052.347	          11.104	          58.674	             NaN	              R+	          11.997	           3.000	           0.300	          28.806
           1.000	           1.000	         -11.997	          -0.001	           3.000	           0.400	          -9.490	          -5.360	         -57.597	       46047.796	          10.899	          58.620	             NaN	              R+	          11.997	           3.000	           0.400	          28.746
           1.000	           1.000	         -11.997	          -0.001	           3.000	           0.500	          -9.475	          -4.886	         -57.601	       46043.244	          10.661	          58.579	             NaN	              R+	          11.997	           3.000	           0.500	          28.777
           1.000	           1.000	         -11.997	          -0.001	           3.000	           0.600	          -9.481	          -4.392	         -57.700	       46038.693	          10.449	          58.638	             NaN	              R+	          11.997	           3.000	           0.600	          28.768
           1.000	           1.000	         -11.997	          -0.001	           3.000	           0.700	          -9.479	          -4.092	         -57.747	       46034.142	          10.324	          58.663	             NaN	              R+	          11.997	           3.000	           0.700	          28.737
           1.000	           1.000	         -11.997	          -0.001	           3.000	           0.800	          -9.562	          -3.470	         -57.774	       46029.591	          10.172	          58.663	             NaN	              R+	          11.997	           3.000	           0.800	          28.822
           1.000	           1.000	         -11.997	          -0.001	           3.000	           0.900	          -9.502	          -3.165	         -57.810	       46025.040	          10.015	          58.671	             NaN	              R+	          11.997	           3.000	           0.900	          28.845
           1.000	           1.000	         -11.997	          -0.001	           3.000	           1.000	          -9.533	          -2.696	         -57.867	       46020.489	           9.907	          58.709	             NaN	              R+	          11.997	           3.000	           1.000	          28.857
           1.000	           1.000	         -11.997	          -0.001	           3.000	           1.100	          -9.555	          -2.135	         -57.810	       46015.938	           9.791	          58.633	             NaN	              R+	          11.997	           3.000	           1.100	          28.710
           1.000	           1.000	         -11.997	          -0.001	           3.000	           1.200	          -9.452	          -1.870	         -57.895	       46011.387	           9.635	          58.691	             NaN	              R+	          11.997	           3.000	           1.200	          28.792
           1.000	           1.000	         -11.997	          -0.001	           3.000	           1.300	          -9.522	          -1.294	         -57.899	       46006.836	           9.609	          58.691	             NaN	              R+	          11.997	           3.000	           1.300	          28.884
           1.000	           1.000	         -11.997	          -0.001	           3.000	           1.400	          -9.593	          -0.791	         -57.873	       46002.284	           9.625	          58.668	             NaN	              R+	          11.997	           3.000	           1.400	          28.889
           1.000	           1.000	         -11.997	          -0.001	           3.000	           1.500	          -9.457	          -0.392	         -57.920	       45997.733	           9.465	          58.688	             NaN	              R+	          11.997	           3.000	           1.500	          28.844
           1.000	           1.000	         -11.997	          -0.001	           3.000	           1.600	          -9.562	           0.041	         -57.964	       45993.182	           9.562	          58.747	             NaN	              R+	          11.997	           3.000	           1.600	          28.795
           1.000	           1.000	         -11.997	          -0.001	           3.000	           1.700	          -9.593	           0.546	         -57.845	       45988.631	           9.608	          58.638	             NaN	              R+	          11.997	           3.000	           1.700	          28.759
           1.000	           1.000	         -11.997	          -0.001	           3.000	           1.800	          -9.560	           0.990	         -57.945	       45984.080	           9.611	          58.737	             NaN	              R+	          11.997	           3.000	           1.800	          28.816
